policy_id,policy_country_iso_code,policy_title,policy_name,policy_jurisdiction,policy_supranational_region,policy_country,policy_subnational_region_or_state,policy_city,policy_type_of_policy_instrument,policy_sector_name,policy_description,policy_type,policy_stringency,policy_implementation_state,policy_date_of_decision,policy_start_date_of_implementation,policy_end_date_of_implementation,policy_high_impact,policy_objective,policy_source_or_references,impact_indicator_comments,impact_indicator_name_of_impact_indicator,impact_indicator_value,impact_indicator_base_year,impact_indicator_target_year
211000266,IDN,Biofuel Blending (Ministry Regulation No. 25/13) Indonesia (2013),Biofuel Blending (Ministry Regulation No. 25/13),Country,,Indonesia,,,"Regulatory Instruments, Codes and standards, Obligation schemes","Electricity and heat, General, Industry, Transport","Indonesian Ministry of Energy and Mineral Resources (MEMR) Regulation No. 25/2013 is an ambitious biofuel program that aims to diversify domestic biodiesel consumption beyond the transportation sector (Indonesia’s main biodiesel consumer).
Regulation 25 amends MEMR Regulation No. 32/2008 and sets a more ambitious target for biofuel use.","Renewables, Other low-carbon technologies and fuel switch",4.0,In force,2013.0,,2025.0,unclear,Mitigation,http://gain.fas.usda.gov/Recent%20GAIN%20Publications/Biofuels%20Annual_Jakarta_Indonesia_6-27-2014.pdf,,"Blend of biofuel (%), Blend of biofuel in diesel (%), Blend of biofuel in gasoline (%)","22.5, 25, 20",", ,","2025, 2025, 2025"
211001635,ARG,"Law 26,093 on Regime of Regulation and Promotion of the Production and Sustainable Use of Biofuels Argentina (2006)","Law 26,093 on Regime of Regulation and Promotion of the Production and Sustainable Use of Biofuels",Country,,Argentina,,,"Tax relief, Institutional creation, Strategic planning, Obligation schemes, Grants and subsidies",Transport,"Law 26.093
This law establishes the National Advisory Commission for the Promotion of the Production and Sustainable Use of Biofuels to provide a set guidelines for environmental impact assessments and determined what plants can be used for biofuels.
It also provides tax breaks to encourage production (from farmers and agricultural firms meeting the requirements) and export of biofuels. Such incentives are low export taxes, accelerated depreciation through income tax, VAT break, and exemption from the taxes on Hydrocarbons and Diesel (20% each).
A 2016 amendment of this law imposed a minimum of 12% (initially 5% by 2010) blend of biodiesel or ethanol in gasoline.
Through Law 26.334 (2008), the number of beneficiaries of the above incentives was increased to a change in requirements.",Renewables,,In force,2006.0,,,High,Mitigation,"https://climate-laws.org/geographies/argentina/laws/law-26-093-2006-regimen-of-regulation-and-promotion-of-the-production-and-sustainable-use-of-biofuels
http://infoleg.mecon.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm
http://infoleg.mecon.gov.ar/infolegInternet/anexos/135000-139999/136339/norma.htm",Target: Biofuel share in transport | Bioethanol + biodiesel,Blend of biofuel (%),12,2016,
211001812,CHN,Medium and Long Term Development Plan for Renewable Energy China (2007),Medium and Long Term Development Plan for Renewable Energy,Country,,China,,,Strategic planning,"Electricity and heat, Renewables","""The Plan states that by 2010, China will aim to raise the share of renewable energy in total primary energy consumption to 10 per cent and 15 per cent by 2020 (NDRC, 2007). The plan nominates biomass energy as a priority sector and sets targets of 2 million tonnes for national annual use of non-grain fuel ethanol and 200 000 tonnes for biodiesel by 2010. By 2020, under the plan, China will be using 10 million tonnes of fuel ethanol and 2 million tonnes of biodiesel per year."" (http://www.iisd.org/gsi/sites/default/files/china_biofuels_subsidies.pdf)",Renewables,,In force,2007.0,,,High,Mitigation,"http://www.iisd.org/gsi/sites/default/files/china_biofuels_subsidies.pdf
http://documents.worldbank.org/curated/en/144421468017666128/pdf/wps6243.pdf","Blend of biofuel (%), Blend of biofuel (GJ/year)","Blend of biofuel (%), Blend of biofuel (%)","1.1, 100000000",",","2020, 2020"
211002529,USA,Renewable Fuel Standard (RFS) United States of America (2007),Renewable Fuel Standard (RFS),Country,,United States of America,,,"Market-based instruments, Policy support, Regulatory Instruments, Codes and standards","Electricity and heat, Renewables, Transport","EPA finalizes the volume requirements and associated percentage standards that apply under the RFS program in calendar years 2014, 2015, and 2016 for cellulosic biofuel, biomass-based diesel, advanced biofuel, and total renewable fuel. EPA also finalizes the volume requirement for biomass-based diesel for 2017. This policy was started in 2007 and has had planned updates since then.",Renewables,,In force,2007.0,2007.0,2022.0,High,Mitigation,"http://www.theicct.org/sites/default/files/publications/ICCTBriefing_RFS2_20140211.pdf
http://transportpolicy.net/index.php?title=US:_Fuels:_Renewable_Fuel_Standard
https://www.epa.gov/renewable-fuel-standard-program/final-renewable-fuel-standards-2014-2015-and-2016-and-biomass-based
https://www.epa.gov/renewable-fuel-standard-program/program-overview-renewable-fuel-standard-program
http://www.afdc.energy.gov/laws/390",,Blend of biofuel (%),10.1,2014,
211002531,CAN,Renewable Fuels Regulations (Biofuels Bill) Canada (2008),Renewable Fuels Regulations (Biofuels Bill),Country,,Canada,,,"Monitoring, Obligation schemes","Transport, Electricity and heat, Heavy-duty vehicles, Light-duty vehicles","Mandating a 5% renewable fuel content in gasoline by 2010, and a 2% renewable fuel content in diesel fuel and heating oil by 2012.
Target:
- 5% bio-ethanol share in gasoline by 2011
- 2% bio-diesel share in diesel by 2011",Renewables,,In force,2008.0,2008.0,,High,Mitigation,http://www.agr.gc.ca/index_e.php,,"Blend of biofuel (%), Blend of biofuel in diesel (%), Blend of biofuel in gasoline (%)","3.7, 2, 5","2011, 2011, 2011",", ,"
211002603,KOR,Roadmap to achieve the National Greenhouse Gas Reduction Targets Republic of Korea (2014),Roadmap to achieve the National Greenhouse Gas Reduction Targets,Country,,Republic of Korea,,,"Climate strategy, Political & non-binding climate strategy, Target, GHG reduction target",General,"""This plan offers a realistic and effective strategy for each sector to enable Korea to reach its national target for emission reductions. Relevant authorities periodically assess the progress of each sector in reaching its required goals set by the action plan to ensure Korea’s successful implementation of the Roadmap. The Roadmap presents detailed emission reduction policies and measures for each sector — including industry, building, and transport—to achieve planned reduction targets""","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2014.0,,,Unknown,Mitigation,http://unfccc.int/resource/docs/natc/rkorbur1.pdf,,"GHG emissions reduction (GtCO2e), GHG emissions reduction (%)","0.543, 30","0, 0","2020, 2020"
211005306,GEO,"2016 Tax Law Amendment for energy efficient, electric, and low carbon vehicles","2016 Tax Law Amendment for energy efficient, electric, and low carbon vehicles",Country,,Georgia,,,"Fiscal or financial incentives, Tax relief","Transport, Heavy-duty vehicles, Light-duty vehicles, Low-emissions mobility","This policy refers specifically to reducing excise taxes for purchase of hybrids vehicles by 50% (for cars older than 6 years) and 60% (for cars of less than 6 years old). Also, excise taxes will be removed (100% reduction) for purchase of electric vehicles. ","Energy efficiency, Renewables",,In force,2016.0,2016.0,,Unknown,Mitigation,eiec.gov.ge,"447 ktCO2e in 2030, compared to the reference case ",GHG emissions reduction (GtCO2e),,,2030
211005307,GEO,Tbilisi’s Green Transport Policy Action plan,Tbilisi’s Green Transport Policy Action plan,City,,Georgia,,Tbilisi,"Direct investment, Infrastructure investments, Policy support, Strategic planning","Transport, Heavy-duty vehicles, Light-duty vehicles, Low-emissions mobility, Rail","Bus fleet renewal: This policy refers to purchase of 100 8-meter buses in 2018, 200 12-meter buses in 2019. By 2020 the number of public buses will be increased to 900 units. By 2021: complete substitution of existing yellow buses with modern Euro VI CNG / electric buses. 
	
	
	MT-7B Metro expansion: Currently, 43 trains serve passengers in Tbilisi, 14 new trains will be added to the Tbilisi Metro in 2018-2019. The goal is to minimise waiting time and make travel by metro more comfortable. 
	
	
	MT-7C Bus network restructuring: Implementing measures to prioritise bus lanes (e.g., BRT). It is assumed that this measure will cover 50% of the bus ridership activity in the city by covering some of the busiest avenues in the city of Tbilisi.  
	
	
	MT-7D Implementing a parking system: From 2019 Tbilisi City Hall will implement zonal hourly parking system in the capital of Georgia. The offered system means the creation of different fees for parking in different districts of Tbilisi – in central districts the fee will be higher than in peripheries. Electric vehicles will not pay the zone-hour parking fee. ","Energy efficiency, Other low-carbon technologies and fuel switch",,In force,2018.0,2018.0,2021.0,Unknown,"Air pollution, Mitigation",eiec.gov.ge,"90 ktCO2e in 2030, compared to the reference case ",GHG emissions reduction (GtCO2e),,,2030
211005309,GEO,Regulations for vehicle roadworthiness,Regulations for vehicle roadworthiness,Country,,Georgia,,,Vehicle air pollution standards,"Transport, Heavy-duty vehicles, Light-duty vehicles","Cars will be tested for road worthiness, with checks including for emissions standards. It is estimated that approximately 25% of private vehicles will not pass the tests in their current state and will need to be scrapped or refurbished.

 

 

 ",Energy efficiency,,In force,2020.0,2021.0,2030.0,Unknown,Air pollution,eiec.gov.ge,"150 ktCO2e in 2030, compared to the reference case ",GHG emissions reduction (GtCO2e),,,2030
211005314,GEO,Emission quality standards on the import and production of vehicles (EUR4/5) (2021),Emission quality standards on the import and production of vehicles (EUR4/5),Country,,Georgia,,Tbilisi,Vehicle fuel-economy and emissions standards,"Transport, Heavy-duty vehicles, Light-duty vehicles","During 2018, a cost-benefit analysis was done to assess the feasibility of import and/or production ban on vehicles below Euro 4 or Euro 5 standards. The period of implementation would be 2021-2023. 

The implementation of the policy is planned but conditional on international support.",Energy efficiency,,Planned,2021.0,2021.0,2023.0,Unknown,"Air pollution, Mitigation",,"265 ktCO2e (EUR4) / 370 ktCO2e with EUR5 in 2030, compared to the reference case ",GHG emissions reduction (GtCO2e),,,2030
