policy_id,policy_country_iso_code,policy_title,policy_name,policy_jurisdiction,policy_supranational_region,policy_country,policy_subnational_region_or_state,policy_city,policy_type_of_policy_instrument,policy_sector_name,policy_description,policy_type,policy_stringency,policy_implementation_state,policy_date_of_decision,policy_start_date_of_implementation,policy_end_date_of_implementation,policy_high_impact,policy_objective,policy_source_or_references,impact_indicator_comments,impact_indicator_name_of_impact_indicator,impact_indicator_value,impact_indicator_base_year,impact_indicator_target_year
211000499,ZAF,Climate Change Bill on June South Africa (2018),Climate Change Bill on June,Country,,South Africa,,,Coordinating body for climate strategy,General,Draft legislation to (re)establish a Ministerial Committee on Climate Change.,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,Planned,2018.0,,,Unknown,,https://climateactiontracker.org/documents/398/CAT_2018-11-27_ScalingUp_SouthAfrica_FullReport.pdf,,,,,
211000863,ZAF,Electric Vehicle Industry Roadmap South Africa (2013),Electric Vehicle Industry Roadmap,Country,,South Africa,,,Fiscal or financial incentives,"Transport, Low-emissions mobility","South Africa seeks to promote the establishment of a domestic EVs Industry, thereby contributing to the mitigation of GHG emissions as well as promoting further investments and job creation in the automotive industry. The road map aims to achieve the vision through a number of strategic interventions including but not limited to: demand stimulation, public education, investment support and an accommodative regulatory framework.",Other low-carbon technologies and fuel switch,,In force,2013.0,,,Unknown,,https://www.gov.za/dti-launch-electric-vehicle-industry-road-map,,,,,
211001690,ZAF,Intergovernmental Committee on Climate Change (IGCCC) South Africa (2008),Intergovernmental Committee on Climate Change (IGCCC),Country,,South Africa,,,Coordinating body for climate strategy,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2008.0,,,Unknown,,https://climateactiontracker.org/documents/398/CAT_2018-11-27_ScalingUp_SouthAfrica_FullReport.pdf,,,,,
211001713,ZAF,Inter-Ministerial committee on Climate Change (IMCCC) South Africa (2009),Inter-Ministerial committee on Climate Change (IMCCC),Country,,South Africa,,,Coordinating body for climate strategy,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2009.0,,,Unknown,,https://climateactiontracker.org/documents/398/CAT_2018-11-27_ScalingUp_SouthAfrica_FullReport.pdf,,,,,
211002389,ZAF,National Rail Policy Green Paper South Africa (2015),National Rail Policy Green Paper,Country,,South Africa,,,"Strategic planning, Infrastructure investments",Transport,,Energy service demand reduction and resource efficiency,,In force,2015.0,,,Unknown,,https://climateactiontracker.org/documents/398/CAT_2018-11-27_ScalingUp_SouthAfrica_FullReport.pdf,,,,,
211003051,BRA,Regulation on oil and natural gas losses Brazil (2000),Regulation on oil and natural gas losses,Country,,Brazil,,,"Sectoral standards, Codes and standards","Industry, Fossil fuel exploration and production, Electricity and heat, Gas","PORTARIA ANP Nº 249, DE 1º.11.2000 - DOU 3.11.2000
The regulation defines the rules for natural gas flaring. These include:
-	The separation of cases in which the flared gas is subject to royalties and the ones in which it is not.
-	The definition of the circumstances where natural gas can be flared.
-	The reasons that concede exemption or not of the need for authorization for flaring.
The limits are defined by the ANP (National Agency of Petroleum, Natural Gas and Biofuels).",Non-energy use,,In force,2000.0,,,Unknown,,http://legislacao.anp.gov.br/?path=legislacao-anp/resol-anp/2000/dezembro&item=panp-249-2000&export=pdf,,,,,
211003052,BRA,Network of Innovation in the Electric Sector (Rise) Brazil (2018),Network of Innovation in the Electric Sector (Rise),Country,,Brazil,,,"Research & Development and Deployment (RD&D), Research programme","General, Transport","Electric Mobility is a priority area in the first RISE program starting in 2018. The programme aims to insert new technologies in the electricity market byt fostering relationships between public and private stakeholders. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2018.0,,,Unknown,,https://www.iea.org/policies/7148-network-of-innovation-in-the-electric-sector-rise?country=Brazil&qs=brazil,,,,,
211003053,BRA,Reduction of losses of distribution transformers Brazil (2019),Reduction of losses of distribution transformers,Country,,Brazil,,,"Other mandatory requirements, Product standards, Codes and standards",Electricity and heat,"""The interministerial order n. 03/2018 of the ministry for mines and energy regulates the maximum technical losses of single-phase and three-phase distribution transformers according to their level of voltage."" (IEA, 2020) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2019.0,,,Unknown,,https://www.iea.org/policies/8514-maximum-technical-losses-of-distribution-transformers?country=Brazil&qs=brazil,,,,,
211003054,BRA,Alliance Program for Energy Efficiency Brazil (2019),Alliance Program for Energy Efficiency,Country,,Brazil,,,Fiscal or financial incentives,Industry,"The Alliance Programme aims to boost the competitiveness of the Brazilian energy-intensive industry though efficiency measures. It covers, in the third round, 40% of the project costs while the remaining 60% is covered by the respective industry participant. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2019.0,,,Unknown,,https://www.iea.org/policies/7988-third-cycle-of-the-strategic-alliance-program-for-energy-efficiency?country=Brazil&qs=brazil,,,,,
211003055,BRA,Minimum Energy Performance Standards for Motors Brazil (2016),Minimum Energy Performance Standards for Motors,Country,,Brazil,,,"Codes and standards, Product standards",Industry,,Energy efficiency,,In force,2016.0,2019.0,,Unknown,,https://www.iea.org/policies/8037-meps-on-motors?country=Brazil&qs=brazil,,,,,
211003056,BRA,Efficiency Standards for Refrigerators and Freezers Brazil (2018),Efficiency Standards for Refrigerators and Freezers,Country,,Brazil,,,"Codes and standards, Product standards","Buildings, Appliances","Establishes energy efficiency standards for refrigerators and freezers, including phasing out of inefficient appliances from the market. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2018.0,,,Unknown,,https://www.iea.org/policies/8513-mme-mctic-mdic-interministerial-order-no-012018-refrigerators-and-freezers?country=Brazil&qs=brazil,,,,,
211003057,BRA,Energy Performance Standards for ceiling fans Brazil (2017),Energy Performance Standards for ceiling fans,Country,,Brazil,,,"Codes and standards, Product standards","Buildings, Appliances","Interministerial Order No. 2 of June 29, 2017 IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2017.0,2018.0,,Unknown,,https://www.iea.org/policies/8032-minimum-energy-performance-standards-for-ceiling-fans?country=Brazil&qs=brazil,,,,,
211003058,BRA,Minimum efficiency standards for air conditioners Brazil (2018),Minimum efficiency standards for air conditioners,Country,,Brazil,,,"Codes and standards, Product standards","Buildings, Appliances","""This policy updates the minimum energy efficiency levels for window type air conditioners and split type air conditioners.
The regulation prohibits the manufactoreing and import of non-compliant air conditioners from June 30, 2019, the marketing of non-compliant air conditioners by importers from December 31, 2019, and the marketing by wholesales and retailers of non-compliant air conditioners as of June 30, 2020."" (IEA, 2020) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2018.0,2019.0,,Unknown,,https://www.iea.org/policies/6907-minimum-efficiency-levels-for-air-conditioners?country=Brazil&qs=brazil,,,,,
