policy_id,policy_country_iso_code,policy_title,policy_name,policy_jurisdiction,policy_supranational_region,policy_country,policy_subnational_region_or_state,policy_city,policy_type_of_policy_instrument,policy_sector_name,policy_description,policy_type,policy_stringency,policy_implementation_state,policy_date_of_decision,policy_start_date_of_implementation,policy_end_date_of_implementation,policy_high_impact,policy_objective,policy_source_or_references,impact_indicator_comments,impact_indicator_name_of_impact_indicator,impact_indicator_value,impact_indicator_base_year,impact_indicator_target_year
211003494,AUT,Austrian Forestry Programme Austria (2007),Forestry Programme,Country,,Austria,,,"Policy Support, Strategic planning",Agriculture and forestry,Executive,Non-energy use,,In force,2007.0,,,,Mitigation,https://climate-laws.org/geographies/austria/policies/austrian-forestry-programme,,,,,
211003733,IRL,Energy (Biofuel Obligation and Miscellaneous Provisions) Act 2010 (No. 11 of 2010) of the National Oil Reserves Agency Act 2007 (No.7 of 2007) Ireland (2010),Energy (Biofuel Obligation and Miscellaneous Provisions) Act No. 11/2010 of the National Oil Reserves Agency Act No.7/2007,Country,,Ireland,,,"Regulatory instruments, Obligation Schemes",Transport,Legislative,Other low-carbon technologies and fuel switch,,In force,2010.0,,,,Mitigation,http://www.irishstatutebook.ie/eli/2010/act/11/enacted/en/html,,,,,
211003804,ISR,"Energy Sources Regulations (Energy efficiency, Energy Markings And Energy Ratings Of Air Conditioners) Israel (2004)","Energy Sources Regulations (Energy efficiency, Energy Markings And Energy Ratings Of Air Conditioners)",Country,,Israel,,,,,,,,Unknown,2004.0,,,,Mitigation,https://clasp.ngo/policies/israel-meps2,,,,,
211003957,ROU,Government Decision regarding the use of bio fuels and bio liquids 935/2011 amended and complimented with 918/2012 Romania (2011),Government Decision regarding the use of bio fuels and bio liquids 935/2011 amended and complimented with 918/2012,Country,,Romania,,,"Regulatory instruments, Obligation Schemes",Transport,Executive,Other low-carbon technologies and fuel switch,,In force,2011.0,,,,Mitigation,https://www.climate-laws.org/geographies/romania/policies/government-decision-regarding-the-use-of-bio-fuels-and-bio-liquids-935-2011-amended-and-complimented-with-918-2012,,,,,
211003967,HUN,Governmental Decree No.343 of 2010 concerning the requisites and certification of sustainable biofuel production Hungary (2010),Governmental Decree No.343/2010 concerning the requisites and certification of sustainable biofuel production,Country,,Hungary,,,"Regulatory instruments, Obligation Schemes",Transport,Executive,Other low-carbon technologies and fuel switch,,In force,2010.0,,,,Mitigation,https://www.ecolex.org/details/legislation/governmental-decree-no-167-of-2011-amending-governmental-decree-no-343-of-2010-concerning-the-requisites-and-certification-of-sustainable-biofuel-production-lex-faoc110235/,,,,,
211004310,PER,"Law to Promote a Market of Biofuels Fuels, Law No. 28054 and corresponding regulations specified in Federal Decree No. 013-2005-EM Peru (2003)","Law to Promote a Market of Biofuels Fuels, Law No. 28054 and corresponding regulations specified in Federal Decree No. 013-2005-EM",Country,,Peru,,,"Regulatory instruments, Obligation Schemes",Transport,Legislative,Other low-carbon technologies and fuel switch,,In force,2003.0,,,,Mitigation,https://climate-laws.org/geographies/peru/laws/law-to-promote-a-market-of-biofuels-fuels-law-no-28054-and-corresponding-regulations-specified-in-federal-decree-no-013-2005-em,,,,,
211000001,ITA,"""All inclusive"" Feed-in Tariff for small renewable energy power plants Italy (2008)","""All inclusive"" Feed-in Tariff for small renewable energy power plants",Country,,Italy,,,"Feed-in tariffs or premiums, Green Certificates","Electricity and Heat, Renewables","The Decree of 11 April 2008 lays down the criteria to stimulate the production of electricity from solar thermodynamic plants, including the hybrid ones, connected to the electricity grid, built in Italy. Plants must be equipped with thermal accumulation systems. On top of the selling price, net electricity produced by thermodynamic solar plants commissioned after 18 July 2008 can obtain a feed-in premium for 25 years. Up to 2012 the bonus varies from EUR 0.22 to EUR 0.28 / kWh depending on the level of integration of the plants. In case of hybrid plants, the feed-in tariff decreases depending on the ratio between the amount of energy not produced by a solar energy source and the amount produced by a solar energy source. The maximum cumulative power of all solar thermodynamic plants eligible for the incentives corresponds to 1.5 million m2 of cumulative surface. The national objective of total power to be installed by 2016 corresponds to 2 million m2 of cumulative surface. For the 2013-2014 period such bonus values will be reduced by 2% a year; from 2014 onward special Ministerial Decree will define further cuts.
IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",renewables,,superseded,2008.0,,,Unknown,Mitigation,https://www.iea.org/policies/4673-feed-in-tariff-for-solar-thermodynamic-energy?q=Italy,,,,,
211003733,IRL,Energy (Biofuel Obligation and Miscellaneous Provisions) Act 2010 (No. 11 of 2010) of the National Oil Reserves Agency Act 2007 (No.7 of 2007) Ireland (2010),Energy (Biofuel Obligation and Miscellaneous Provisions) Act No. 11/2010 of the National Oil Reserves Agency Act No.7/2007,Country,,Ireland,,,"Regulatory instruments, Obligation Schemes",Transport,Legislative,Other low-carbon technologies and fuel switch,,In force,2010.0,,,,Mitigation,http://www.irishstatutebook.ie/eli/2010/act/11/enacted/en/html,,,,,
211003870,BOL,"Executive Decree No. 29466, approving the National Programme for Energy efficiency Bolivia (2008)","Executive Decree No. 29466, approving the National Programme for Energy efficiency",Country,,"Bolivia, Plurinational State of",,,"Policy support, Strategic Planning",Buildings,Executive,Energy efficiency,,In force,2008.0,,,,Mitigation,https://www.climate-laws.org/geographies/bolivia/policies/executive-decree-no-29466-approving-the-national-programme-for-energy-efficiency,,,,,
211003957,ROU,Government Decision regarding the use of bio fuels and bio liquids 935/2011 amended and complimented with 918/2012 Romania (2011),Government Decision regarding the use of bio fuels and bio liquids 935/2011 amended and complimented with 918/2012,Country,,Romania,,,"Regulatory instruments, Obligation Schemes",Transport,Executive,Other low-carbon technologies and fuel switch,,In force,2011.0,,,,Mitigation,https://www.climate-laws.org/geographies/romania/policies/government-decision-regarding-the-use-of-bio-fuels-and-bio-liquids-935-2011-amended-and-complimented-with-918-2012,,,,,
